,Name,latitude,longitude
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
0,Jollibee - Raon,14.6007231,120.98439648
1,McDonald's - Isetann Recto,14.603099019999998,120.9840948
2,Lola Nena's Pichi Pichi - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
3,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
4,Starbucks - Pacific Center Binondo [Available for LONG-DISTANCE DELIVERY],14.598539382002997,120.97566239164144
5,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386001,120.987806
6,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
7,Chowking - Paterno,14.5994997,120.98417191111112
